round,moody_avg_mood,moody_avg_score,moody_avg_connectivity,sarsa_avg_score,sarsa_avg_connectivity,tft_avg_score,tft_avg_connectivity,wsls_avg_score,wsls_avg_connectivity
39700,99.733,3.374,0.363,3.686,0.0,50.0,0.456,50.0,0.459
39800,99.767,3.374,0.358,3.686,0.0,50.0,0.47,50.0,0.455
39900,99.733,3.375,0.364,3.686,0.0,50.0,0.463,50.0,0.468
40000,99.6,3.375,0.357,3.686,0.0,50.0,0.466,50.0,0.456
40100,97.9,3.373,0.54,3.687,0.266,50.0,0.523,50.0,0.519
40200,98.833,3.372,0.414,3.688,0.051,50.0,0.484,50.0,0.475
40300,99.2,3.372,0.362,3.688,0.009,50.0,0.462,50.0,0.446
40400,99.667,3.373,0.357,3.688,0.0,50.0,0.474,50.0,0.457
40500,99.8,3.373,0.369,3.688,0.0,50.0,0.467,50.0,0.457
40600,99.7,3.374,0.362,3.688,0.0,50.0,0.464,50.0,0.448
40700,99.7,3.374,0.359,3.688,0.0,50.0,0.485,50.0,0.454
40800,99.633,3.374,0.36,3.688,0.0,50.0,0.457,50.0,0.457
40900,99.633,3.375,0.359,3.688,0.0,50.0,0.485,50.0,0.447
41000,99.767,3.375,0.355,3.688,0.0,50.0,0.467,50.0,0.464
41100,98.333,3.373,0.525,3.688,0.271,50.0,0.542,50.0,0.517
41200,98.767,3.372,0.415,3.689,0.056,50.0,0.479,50.0,0.459
41300,99.633,3.373,0.371,3.689,0.008,50.0,0.471,50.0,0.454
41400,99.833,3.373,0.361,3.689,0.001,50.0,0.472,50.0,0.442
41500,99.867,3.373,0.363,3.689,0.0,50.0,0.472,50.0,0.457
41600,99.767,3.374,0.355,3.689,0.0,50.0,0.462,50.0,0.444
41700,99.667,3.374,0.361,3.689,0.0,50.0,0.483,50.0,0.473
41800,99.767,3.374,0.361,3.689,0.0,50.0,0.477,50.0,0.462
41900,99.7,3.375,0.361,3.689,0.0,50.0,0.467,50.0,0.463
42000,99.667,3.375,0.356,3.689,0.0,50.0,0.477,50.0,0.444
42100,99.033,3.373,0.522,3.69,0.248,50.0,0.549,50.0,0.517
42200,98.4,3.373,0.414,3.689,0.058,50.0,0.469,50.0,0.47
42300,99.4,3.373,0.373,3.689,0.007,50.0,0.472,50.0,0.455
42400,99.667,3.373,0.362,3.69,0.001,50.0,0.464,50.0,0.432
42500,99.733,3.373,0.359,3.69,0.0,50.0,0.447,50.0,0.45
42600,99.733,3.374,0.363,3.69,0.0,50.0,0.486,50.0,0.471
42700,99.733,3.374,0.362,3.69,0.0,50.0,0.473,50.0,0.443
42800,99.833,3.374,0.356,3.69,0.0,50.0,0.459,50.0,0.44
42900,99.8,3.375,0.351,3.69,0.0,50.0,0.461,50.0,0.453
43000,99.833,3.375,0.358,3.69,0.0,50.0,0.479,50.0,0.468
43100,98.4,3.373,0.524,3.689,0.263,50.0,0.542,50.0,0.505
43200,98.933,3.373,0.398,3.69,0.047,50.0,0.47,50.0,0.456
43300,99.267,3.373,0.371,3.69,0.009,50.0,0.46,50.0,0.452
43400,99.567,3.373,0.354,3.69,0.001,50.0,0.453,50.0,0.447
43500,99.833,3.373,0.354,3.69,0.0,50.0,0.477,50.0,0.455
43600,99.7,3.374,0.356,3.69,0.0,50.0,0.464,50.0,0.422
43700,99.767,3.374,0.361,3.69,0.0,50.0,0.484,50.0,0.443
43800,99.833,3.374,0.356,3.69,0.0,50.0,0.467,50.0,0.459
43900,99.833,3.375,0.348,3.69,0.0,50.0,0.462,50.0,0.457
44000,99.833,3.375,0.355,3.69,0.0,50.0,0.459,50.0,0.449
44100,98.267,3.373,0.534,3.69,0.275,50.0,0.543,50.0,0.517
44200,99.267,3.373,0.408,3.691,0.058,50.0,0.488,50.0,0.462
44300,99.367,3.373,0.369,3.691,0.01,50.0,0.469,50.0,0.448
44400,99.533,3.373,0.361,3.69,0.002,50.0,0.464,50.0,0.441
44500,99.567,3.373,0.358,3.69,0.0,50.0,0.489,50.0,0.459
44600,99.667,3.374,0.368,3.69,0.0,50.0,0.479,50.0,0.459
44700,99.767,3.374,0.356,3.69,0.0,50.0,0.459,50.0,0.458
44800,99.733,3.374,0.355,3.69,0.0,50.0,0.476,50.0,0.435
44900,99.667,3.375,0.359,3.69,0.0,50.0,0.481,50.0,0.468
45000,99.533,3.375,0.362,3.69,0.0,50.0,0.482,50.0,0.461
45100,98.7,3.373,0.544,3.691,0.274,50.0,0.54,50.0,0.522
45200,99.1,3.372,0.4,3.692,0.06,50.0,0.472,50.0,0.474
45300,99.767,3.373,0.371,3.692,0.01,50.0,0.456,50.0,0.442
45400,99.7,3.373,0.362,3.693,0.003,50.0,0.456,50.0,0.454
45500,99.767,3.373,0.366,3.693,0.0,50.0,0.47,50.0,0.461
45600,99.6,3.374,0.364,3.693,0.0,50.0,0.47,50.0,0.46
